"Name","Price","genres","features","developer","publisher","platform","Release date","note critique","moyenne avis","Classification OpenCritique"
"Little Inferno","11,99 €","","Indépendant Simulation Casse-tête Solo","Tomorrow Corporation","Tomorrow Corporation","Windows Mac OS Mac OS","19/11/12","","",""
"Little Orpheus Disponible le T4, 2022","","","Casse-tête Aventure Jeux de plateforme Solo Compatibilité manette","The Chinese Room","Secret Mode","Windows","T4, 2022","","",""
"Loop Hero","14,99 €","","Jeux de cartes Indépendant Solo","Four Quarters","Devolver Digital","Windows Mac OS","04/03/21","91 ","84","Super"
"Lords & Villeins","19,98 €","","Construction de villes Simulation Indépendant Solo","Honestly Games","1C Entertainment","Windows","30/09/21","","",""
"Lost Words: Beyond the Page","14,99 €","","Aventure Jeux de plateforme Indépendant Solo","Sketchbook Games, Fourth State","Modus Games","Windows","06/04/21","70 ","78","Très bien"
"LOVE 3","7,99 €","","Action Indépendant Jeux de plateforme Solo Compatibilité manette","Fred Wood","Screenwave Media","Windows","07/12/21","","",""
"Lovecraft's Untold Stories","14,99 €","","Action Indépendant Jeux de tir Solo","LLC Blini Games","1C Entertainment","Windows Mac OS","20/07/21","","",""
"Lumberjack's Dynasty","19,99 €","","Simulation Jeux de rôle Aventure Solo Compatibilité manette","UMEO Studios","Toplitz Productions","Windows","29/04/21","","",""
"Luna's Fishing Garden","7,99 €","","Casual Simulation Exploration Succès","Coldwild Games","Coldwild Games","Windows","16/06/21","","",""
"Mafia II: Definitive Edition","29,99 €","","Action Jeux de tir Solo","d3t","2K","Windows","25/09/20","28 ","64","Mauvais"
"Mafia III: Definitive Edition","29,99 €","","Action Jeux de tir Solo","Hangar 13","2K","Windows","25/09/20","","",""
"Mafia: Definitive Edition","39,99 €","","Action Jeux de tir Solo","Hangar 13","2K","Windows","25/09/20","80 ","78","Très bien"
"Mages of Mystralia","15,99 €","","Action Aventure Indépendant Solo","Borealys Games","Borealys Games","Windows","27/12/21","63 ","75","Très bien"
"Magic: The Gathering Arena","Gratuit","","Stratégie Jeux de cartes Multijoueur","Wizards of the Coast","Wizards of the Coast","Windows Mac OS","16/01/20","93 ","83","Très bien"
"Mail Time Disponible le T1, 2022","15,99 €","","Indépendant Aventure Solo","Kela van der Deijl","Freedom Games","Windows","T1, 2022","","",""
"Maneater","36,99 €","","Action Jeux de rôle Solo","Tripwire Interactive","Tripwire Interactive","Windows","22/05/20","","",""
"Manifold Garden","15,99 €","","Exploration Casse-tête Aventure Compatibilité manette Solo","William Chyr Studio","William Chyr Studio","Windows","18/10/19","89 ","82","Très bien"
"Mars Base Disponible le T4, 2022","","","Simulation Aventure Solo","Khuong Le","Freedom Games","Windows","T4, 2022","","",""
"Mars Horizon","15,99 €","","Simulation Stratégie Indépendant","Auroch Digital","The Irregular Corporation","Windows","22/06/21","","",""
"Marvel's Guardians of the Galaxy","59,99 €","","Action Action-aventure Aventure Solo Compatibilité manette","Eidos-Montréal","Square Enix","Windows","26/10/21","86 ","82","Très bien"
"Mayhem in Single Valley","11,99 €","","Action Indépendant Aventure Compatibilité manette Solo","Fluxscopic Ltd.","tinyBuild","Windows","20/05/21","","",""
"MechWarrior 5: Mercenaries Standard Edition","23,99 €","","Action Simulation Jeux de tir Multijoueur Solo","Piranha Games","Piranha Games","Windows","10/12/19","56 ","73","Passable"
"Mechwarrior 5 Modding Toolkit","Gratuit","","Action Simulation Jeux de tir Multijoueur Solo","Piranha Games","–","Windows","10/12/19","56 ","73","Passable"
"Medieval Dynasty","29,99 €","","","","","Windows","","","",""
"Merchant of the Skies","14,99 €","","Exploration Stratégie Aventure Succès Solo Compatibilité manette","Coldwild Games","Coldwild Games","Windows","13/04/21","","",""
"Metro Exodus Standard Edition","29,99 €","","Action Première personne Jeux de tir Compatibilité manette Solo","4A Games","Deep Silver","Windows Mac OS","15/02/19","83 ","83","Très bien"
"Metro 2033 Redux","19,99 €","","Action Première personne Jeux de tir Solo","4A Games","Deep Silver","Windows","16/03/10","83 ","85","Super"
"Metro Last Light Redux","19,99 €","","Action Première personne Jeux de tir Solo","4A Games","Deep Silver","Windows","02/06/15","","",""
"Might & Magic Heroes 3","9,99 €","","Jeux de rôle Stratégie Solo","Ubisoft","Ubisoft Entertainment","Windows","03/03/21","","",""
"Might and Magic : Heroes VII - Ultimate Edition","44,99 €","","Tour par tour Stratégie","Limbic Entertainment","Ubisoft","Windows","25/08/20","11 ","62","Mauvais"
"Might & Magic: Chess Royale","Gratuit","","Stratégie","Ubisoft","Ubisoft","Windows","05/05/20","0 %","9 ","assable"
"Mighty Fight Federation","23,99 €","","Combat Multijoueur Compétitif Compatibilité manette","Komi Games Inc.","Forthright Entertainment","Windows","16/02/22","","",""
"Milky Way Prince – The Vampire Star","14,99 €","","Horreur Indépendant Narration Solo","Lorenzo Redaelli / Eyeguys","Santa Ragione","Windows Mac OS","13/08/20","","",""
"Mind Scanners","13,99 €","","Simulation Narration Solo","The Outer Zone","Brave At Night","Windows Mac OS","23/09/21","60 ","77","Très bien"
"Minit","9,99 €","","Indépendant Casse-tête Aventure Compatibilité manette Solo","JW, Kitty, Jukio et Dom","Devolver Digital","Windows Mac OS Mac OS","03/04/18","83 ","80","Très bien"
"Missile Command: Recharged","2,39 €","","Action Solo","Nickervision Studios","Atari Inc","Windows Mac OS","24/06/20","60 ","70","Passable"
"Monkey Barrels","11,99 €","","Action Jeux de tir Indépendant","Good-Feel Co., Ltd.","Good-Feel Co., Ltd.","Windows","09/02/21","","",""
"MONOPOLY MADNESS","29,99 €","","Tour par tour Multijoueur Solo","–","Ubisoft","Windows","09/12/21","","",""
"MONOPOLY® PLUS","14,99 €","","","","","Windows","","","",""
"Monorail Stories Disponible le T4, 2022","","","Indépendant Aventure Casual Solo Multijoueur Coopération","Stelex Software","Freedom Games","Windows","T4, 2022","","",""
"Monster Jam Steel Titans 2","29,99 €","","Action Course","Rainbow Studios","THQ Nordic","Windows","02/03/21","11 ","60","Mauvais"
"Monster Outbreak Disponible le T2, 2022","","","Action-aventure Jeux de rôle Stratégie Coopération Compétitif Solo","GameMunchers","Freedom Games","Windows","T2, 2022","","",""
"Moonglow Bay","24,99 €","","Jeux de rôle Aventure Indépendant Succès Compatibilité manette","Bunnyhug","Coatsink","Windows","11/11/21","","",""
"Moonlighter","19,99 €","","Jeux de rôle Aventure Compatibilité manette Solo","Digital Sun Games","11 Bit Studios","Windows Mac OS Mac OS","29/05/18","79 ","82","Très bien"
"Mortal Shell","29,99 €","","Indépendant Jeux de rôle Solo","Cold Symmetry","Playstack Ltd","Windows","18/08/20","","",""
"Mothergunship","23,99 €","","Action Jeux de tir Coopération Multijoueur Solo","Terrible Posture Games","Versus Evil","Windows","29/07/21","54 ","75","Très bien"
"MotoGP™21","39,99 €","","Simulation Course Multijoueur Solo","Milestone S.r.l.","Milestone S.r.l.","Windows","22/04/21","68 ","77","Très bien"
"Mount & Blade II: Bannerlord","49,99 €","","Action Simulation Jeux de rôle","TaleWorlds Entertainment","TaleWorlds Entertainment","Windows","18/06/20","","",""
"Moving Out","22,99 €","","Casual Party game Coopération Solo","SMG Studio & Devm Games","Team17","Windows","28/12/21","74 ","77","Très bien"
"MudRunner","19,99 €","","Simulation Solo","Saber Interactive","Focus Entertainment","Windows","26/11/20","39 ","73","Passable"
"Mundaun","16,79 €","","Horreur Aventure Indépendant Solo","Hidden Fields","MWM Interactive","Windows","16/03/21","58 ","74","Passable"
"Murder by Numbers","12,49 €","","Casse-tête Aventure Indépendant","Mediatonic","The Irregular Corporation","Windows","23/03/21","83 ","81","Très bien"
"Mutant Year Zero: Road to Eden","34,99 €","","Tour par tour Jeux de rôle Stratégie Solo","The Bearded Ladies","Funcom","Windows","04/12/18","66 ","78","Très bien"
"Mutazione","17,99 €","","Aventure","Die Gute Fabrik","Akupara Games","Windows Mac OS","04/03/20","80 ","76","Très bien"
"My Lovely Wife Disponible le 07/06/22","","","Indépendant Horreur Stratégie Solo","GameChanger Studio","Neon Doctrine","Windows","07/06/22","","",""
"My Time At Portia","29,99 €","","","","","Windows","","63 ","75","Très bien"
"My Time at Sandrock Disponible le 26/05/22","","","Simulation Jeux de rôle Multijoueur","Pathea Games","Pathea Games","Windows","26/05/22","","",""
"Myst","23,99 €","","Casse-tête Aventure Solo VR","Cyan Worlds, Inc.","Cyan Worlds, Inc.","Windows Mac OS","26/08/21","54 ","74","Passable"
"MythBusters - The Game Crazy Experiments Simulator Disponible le 2022","","","Simulation Casse-tête Première personne Solo","Byte Barrel","Movie Games S.A.","Windows","2022","","",""
"NARAKA: BLADEPOINT","19,99 €","","Action Multijoueur","24 Entertainment","NetEase Montreal","Windows","08/12/21","","",""
"Narita Boy","24,99 €","","Aventure Indépendant Solo","Studio Koba","Team17","Windows","30/03/21","71 ","77","Très bien"
"NBA 2K21","59,99 €","","","","","Windows","","36 ","68","Passable"
"NecroLand: Undead Corps","7,99 €","","Action Coopération Multijoueur Compétitif Solo","JANUS LABS","Nicalis, Inc.","Windows Mac OS","30/06/21","","",""
"Necromunda: Hired Gun","39,99 €","","Action Action-aventure Aventure Solo Compatibilité manette","Streum On Studio","Focus Entertainment","Windows","01/06/21","","",""
"Neighbours back From Hell","14,99 €","","Casse-tête Stratégie","Farbworks & THQ Nordic","HandyGames","Windows","08/10/20","","",""
"Neko Ghost, Jump!","11,99 €","","Casse-tête Jeux de plateforme Indépendant Solo Compatibilité manette","Burgos Games","Burgos Games","Windows","11/01/22","","",""
"Nemezis: Mysterious Journey III","15,99 €","","Casse-tête Narration Aventure Première personne Solo","Detalion Games","Detalion Games","Windows","15/12/21","","",""
"NEO: The World Ends with You","29,99 €","","Action Jeux de rôle Action-aventure Aventure Solo","h.a.n.d., Inc.","Square Enix","Windows","28/09/21","86 ","82","Très bien"
"Neon Abyss","19,99 €","","Jeux de tir Jeux de plateforme Compatibilité manette","Veewo Games","Team17 Digital Ltd.","Windows","29/07/20","75 ","76","Très bien"
"Neon Blight Disponible le T2, 2022","","","Action Aventure Indépendant Solo","Bleeding Tapes","Freedom Games","Windows","T2, 2022","","",""
"Neon City Riders Super-powered Edition","11,99 €","","Action Monde ouvert Aventure Solo","Mecha Studios","Mecha Studios","Windows","03/08/21","","",""
"Neurodeck","11,99 €","","Indépendant Jeux de rôle Stratégie Solo","TavroxGames","Goblinz Publishing","Windows Mac OS","18/03/21","","",""
"NeuroNet: Mendax Proxy Bientôt","","","Casual Aventure Indépendant Solo","Dream Harvest","Dream Harvest","Windows","Bientôt","","",""
"Never Alone (Kisima Ingitchuna)","11,99 €","","Jeux de plateforme Indépendant Coopération Compatibilité manette","Upper One Games, E-Line Media","E-Line Media","Windows","18/11/21","","",""
"Neverwinter","Gratuit","","Jeux de rôle","Cryptic Studios","Perfect World Entertainment","Windows","10/11/20","44 ","73","Passable"
"New Super Lucky's Tale","27,99 €","","Action Action-aventure Aventure Jeux de plateforme Compatibilité manette Solo","Playful Studios","Playful Studios","Windows","21/08/20","80 ","79","Très bien"
"Next Up Hero","19,99 €","","Action Dungeon Crawler Jeux de rôle Compatibilité manette","Digital Continue","Aspyr Media, Inc.","Windows","23/07/20","","",""
"Niche - a genetics survival game","14,99 €","","Simulation Survie Stratégie Solo","Stray Fawn Studio","Stray Fawn Studio","Windows Mac OS","15/09/21","","",""
"Night in the Woods","15,99 €","","Narration Aventure Jeux de plateforme","Infinite Fall","Finji","Windows Mac OS","27/12/20","90 ","86","Super"
"Nioh 2 – The Complete Edition","59,99 €","","Action Jeux de rôle Coopération Multijoueur Solo","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","Windows","23/09/21","97 ","85","Super"
"Nioh: The Complete Edition","49,99 €","","Action Jeux de rôle Coopération Multijoueur Solo","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","Windows","09/09/21","95 ","84","Super"
"No Longer Home","12,49 €","","Casual Exploration Indépendant Solo","Humble Grove","Fellow Traveller","Windows Mac OS","30/07/21","","",""
"No Straight Roads","24,99 €","","Action Monde ouvert Solo","Metronomik","Fireshine Games","Windows","25/08/20","","",""
"NORCO","11,99 €","","Narration Aventure Casse-tête Solo","Geography of Robots","Raw Fury","Windows Mac OS","24/03/22","95 ","91","Super"
"Northgard","27,99 €","","","","","Windows","","80 ","80","Très bien"
"Not For Broadcast","20,99 €","","Simulation Indépendant Aventure Compatibilité manette Solo","NotGames","tinyBuild","Windows","25/01/22","100"," 8"," Super"
"Not Tonight 2","15,99 €","","Jeux de rôle Aventure Solo","PanicBarn","No More Robots","Windows","11/02/22","","",""
"Nour: Play with Your Food Bientôt","","","","","","Windows Mac OS","","","",""
"Nowhere Prophet","19,99 €","","Jeux de cartes Tour par tour Solo","Sharkbomb Studios","No More Robots","Windows","10/03/22","81 ","80","Très bien"
"Nuclear Throne","9,99 €","","Action Jeux de rôle Rogue-lite Solo Compatibilité manette","Vlambeer","Vlambeer","Windows Mac OS","07/11/19","95 ","86","Super"
"Obduction","23,99 €","","Casse-tête Aventure Indépendant Solo","Cyan, Inc.","Cyan, Inc.","Windows Mac OS","15/07/21","43 ","72","Passable"
"Observation","20,99 €","","Casse-tête Narration Aventure Compatibilité manette Solo","No Code","Devolver Digital","Windows","21/05/19","73 ","76","Très bien"
"Observer: System Redux","24,99 €","","Horreur Aventure Première personne","Bloober Team","Bloober Team","Windows","10/11/20","","",""
"OCTOPATH TRAVELER™","29,99 €","","Jeux de rôle Solo Compatibilité manette","Square Enix, ACQUIRE Corp.","Square Enix","Windows","25/03/21","86 ","84","Super"
"Oddworld: Soulstorm","31,99 €","","Action Casse-tête Jeux de plateforme Solo","Oddworld Inhabitants, Inc.","Oddworld Inhabitants, Inc.","Windows","06/04/21","45 ","71","Passable"
"Oddworld: New 'n' Tasty","15,99 €","","Action Casse-tête Jeux de plateforme","Just Add Water","Oddworld Inhabitants, Inc.","Windows","18/12/20","85 ","81","Très bien"
"Of Bird And Cage","12,49 €","","Action Indépendant Solo","Capricia Productions","All in! Games","Windows","16/12/21","","",""
"Offworld Trading Company","29,99 €","","Stratégie Indépendant Compétitif","Mohawk Games","Stardock Entertainment","Windows","27/02/20","63 ","81","Très bien"
"Old World","32,99 €","","Tour par tour Stratégie Coopération Multijoueur Solo","Mohawk Games","Mohawk Games","Windows Mac OS","05/05/20","","",""
"Olija","14,99 €","","Action Aventure Indépendant","Skeleton Crew Studio","Devolver Digital","Windows","28/01/21","71 ","79","Très bien"
"Omen Of Sorrow","15,99 €","","Combat Multijoueur","AOne Games","AOne Games","Windows","07/06/19","6 %","2 ","auvais"
"OMNO","17,99 €","","Aventure Jeux de plateforme Indépendant Solo","Studio Inkyfox","Future Friends Games","Windows","29/07/21","78 ","79","Très bien"
"One Hand Clapping","14,99 €","","Casual Casse-tête Indépendant Succès Solo Compatibilité manette","Bad Dream Games","HandyGames","Windows","14/12/21","","",""
"One More Island Disponible le 16/05/22","","","Simulation Solo","Berg Games","Freedom Games","Windows","16/05/22","","",""
"Ooblets","23,99 €","","Simulation Jeux de rôle Aventure Solo Compatibilité manette","Glumberland","Glumberland","Windows","15/07/20","","",""
"Open Country","14,99 €","","Solo","FunLabs","505 Games","Windows","10/06/21","","",""
"Opera GX - le premier navigateur pour les joueurs","Gratuit","","","Opera GX","Opera GX","Windows Mac OS","25/01/22","","",""
"Operation: Tango","16,99 €","","Action Casse-tête Indépendant Coopération","Clever Plays Studio","Clever Plays Studio","Windows","24/08/21","","",""
"Operencia: The Stolen Sun","24,99 €","","Exploration Dungeon Crawler Jeux de rôle Compatibilité manette Solo VR","Zen Studios","Zen Studios","Windows","08/03/19","89 ","80","Très bien"
"La Ferme des Animaux d'Orwell","9,99 €","","Narration Solo","Nerial","Dairymen","Windows Mac OS","10/12/20","27 ","63","Mauvais"
"Orwell: Keeping an Eye on You","9,99 €","","Simulation Narration Solo","Osmotic Studios","Osmotic Studios","Windows Mac OS","18/03/22","71 ","82","Très bien"
"Othercide","29,99 €","","Stratégie Indépendant Tour par tour Compatibilité manette Solo","Lightbulb Crew","Focus Entertainment","Windows","14/04/22","69 ","77","Très bien"
"Out of the Park Baseball 22","19,99 €","","Simulation Multijoueur Solo","Out of the Park Developments","Out of the Park Developments","Windows","23/09/21","","",""
"Outer Wilds","20,99 €","","Exploration Narration Compatibilité manette Solo","Mobius Digital","Annapurna Interactive","Windows","28/05/19","85 ","86","Super"
"Outerverse","11,99 €","","Simulation Stratégie Action-aventure Solo","Tbjbu2","Freedom Games","Windows","07/01/22","","",""
"OUTRIDERS","39,99 €","","Action Action-aventure Jeux de tir Coopération Multijoueur Solo","People Can Fly","Square Enix","Windows","15/04/21","51 ","73","Passable"
"Outward","39,99 €","","Jeux de rôle Coopération Solo","Nine Dots Studio","PRIME MATTER","Windows","26/03/19","23 ","64","Mauvais"
"Overcooked","15,99 €","","Action Indépendant Simulation Compatibilité manette Coopération Solo","Ghost Town Games Ltd.","team17","Windows","07/08/18","76 ","79","Très bien"
"Overcooked! 2","22,99 €","","Simulation Coopération Multijoueur","Ghost Town Games and Team17 Digital Ltd","Team17 Digital Ltd","Windows","17/06/21","88 ","82","Très bien"
"OVERPASS™","39,99 €","","Sport Simulation Course Compatibilité manette","Zordix Racing","Bigben Interactive","Windows","27/02/20","19 ","54","Mauvais"
"Override 2: Super Mech League","29,99 €","","Combat Multijoueur Compétitif","Modus Studios Brazil","Modus Games","Windows","05/10/21","17 ","60","Mauvais"
"Oxenfree","7,99 €","","Narration Aventure Indépendant Solo Compatibilité manette","Night School Studio","–","Windows Mac OS Mac OS","15/01/19","79 ","81","Très bien"
"Oxygen Not Included","22,99 €","","Simulation Stratégie Solo","Klei Entertainment","Klei Entertainment","Windows Mac OS","25/11/19","","",""
"Paladins","Gratuit","","Jeux de tir Multijoueur Compétitif","Evil Mojo Games","Hi-Rez Studios","Windows","24/03/20","","",""
"Panzer Corps 2","31,99 €","","Stratégie Multijoueur Solo","Flashback Games","Slitherine Ltd.","Windows","27/04/21","","",""
"Paper Beast","16,99 €","","Indépendant Simulation Aventure Solo","Pixel Reef","Plug In Digital","Windows","20/10/20","83 ","80","Très bien"
"Paradise Killer","15,99 €","","","","","Windows","","87 ","82","Très bien"
"Parkitect","24,99 €","","Simulation Construction de villes Indépendant Coopération Solo","Texel Raptor","Texel Raptor","Windows Mac OS","06/12/21","","",""
"Partisans 1941","39,99 €","","Action Stratégie Infiltration Solo","Alter Games","Daedalic Entertainment","Windows","11/01/22","61 ","75","Très bien"
"Pascal's Wager: Definitive Edition","19,99 €","","Action Jeux de rôle Solo Compatibilité manette","TipsWorks","Giant Mobile","Windows","23/06/21","","",""
"Path of Exile","Gratuit","","Action Jeux de rôle Coopération Multijoueur Solo","Grinding Gear Games","Grinding Gear Games","Windows","16/09/20","","",""
"Pathfinder: Kingmaker - Enhanced Plus Edition","19,99 €","","Action Jeux de rôle Solo","Owlcat Games","Deep Silver","Windows Mac OS","13/05/21","65 ","71","Passable"
"Pathway","13,99 €","","Tour par tour Rogue-lite Stratégie Solo","Robotality","Chucklefish","Windows Mac OS","11/06/20","35 ","69","Passable"
"Pato Box","11,99 €","","Action-aventure Compatibilité manette Solo","Bromio","Bromio","Windows","02/09/21","47 ","72","Passable"
"Patron","15,99 €","","Construction de villes Survie Solo","Overseer Games","Overseer Games","Windows","10/03/22","","",""
"PC Building Simulator","15,99 €","","Simulation Indépendant Succès Solo","The Irregular Corporation","The Irregular Corporation","Windows","07/10/21","36 ","70","Passable"
"PC Building Simulator 2 Bientôt","","","Casual Simulation Solo","Spiral House Ltd","Epic Games Publishing","Windows","Bientôt","","",""
"Penko Park","9,99 €","","Exploration Indépendant Casual Solo Compatibilité manette","Ghostbutter","Secret Mode","Windows","12/01/22","","",""
"Phantasy Star Online 2 New Genesis","Gratuit","","Action Jeux de rôle Multijoueur","SEGA Corporation","SEGA Corporation","Windows","17/02/21","43 ","72","Passable"
"Phantom Brigade","23,99 €","","Jeux de rôle Stratégie Solo","Brace Yourself Games","Brace Yourself Games","Windows","16/11/20","","",""
"Caractéristiques de l'Édition Year One :","23,99 €","","Tour par tour Jeux de rôle Stratégie","Snapshot Games","Snapshot Games","Windows","03/12/20","47 ","72","Passable"
"Pikuniku","12,99 €","","","","","Windows Mac OS","","68 ","76","Très bien"
"Pile Up! Box by Box","14,99 €","","Action Coopération","Seed by Seed","HandyGames","Windows","25/03/22","","",""
"Pillars of Eternity - Definitive Edition","36,99 €","","Jeux de rôle Succès Solo","Obsidian Entertainment","Paradox Interactive","Windows","10/12/20","97 ","89","Super"
"Pinball FX","Gratuit","","Simulation Multijoueur Compétitif","Zen Studios","Zen Studios","Windows","31/03/22","","",""
"Pine","20,99 €","","Action Action-aventure Monde ouvert Aventure Solo Compatibilité manette","Twirlbound","Kongregate","Windows","06/05/21","","",""
"Planescape: Torment: Enhanced Edition","15,99 €","","Jeux de rôle Aventure Solo","Beamdog","–","Windows Mac OS","28/09/21","77 ","84","Super"
"Poly Bridge 2","12,49 €","","Casse-tête","Dry Cactus","Dry Cactus","Windows Mac OS","28/05/20","57 ","71","Passable"
"Port Royale 4","39,99 €","","Simulation Stratégie Compatibilité manette Solo","Gaming Minds Studios","Kalypso Media","Windows","25/09/20","27 ","69","Passable"
"SDK de modding de Post Scriptum","Gratuit","","","Periscope Games","Offworld Industries","Windows","03/12/20","","",""
"Potion Permit Bientôt","","","Casual Simulation Jeux de rôle Solo","MassHive Media","PQube","Windows","Bientôt","","",""
"Predator: Hunting Grounds Édition Standard","","","Action Jeux de tir Multijoueur","IllFonic","PlayStation PC LLC","Windows","–","","",""
"Predecessor Bientôt","","","Action Multijoueur","Omeda Studios","Omeda Studios","Windows","Bientôt","","",""
"Prehistoric Kingdom","23,99 €","","Simulation Construction de villes Stratégie","Blue Meridian","Crytivo Inc.","Windows","27/04/22","","",""
"Prey","39,99 €","","Action Première personne Action-aventure Jeux de tir Aventure Solo","Arkane Studios","Bethesda Softworks","Windows","09/09/21","75 ","81","Très bien"
"Prince of Persia : Les Sables du Temps Remake Bientôt","","","Action Aventure Solo Compatibilité manette","Ubisoft","Ubisoft","Windows","Bientôt","","",""
"Prison Architect","24,99 €","","Simulation Stratégie Solo","Double Eleven","Paradox Interactive","Windows Mac OS","09/12/21","81 ","80","Très bien"
"Production Line","20,99 €","","","","","Windows","","","",""
"PRÉACHAT Vampire: The Masquerade – Swansong Disponible le 19/05/22","49,99 €","","Narration Jeux de rôle Succès Solo","Big Bad Wolf","Nacon","Windows","19/05/22","","",""
"S.T.A.L.K.E.R. 2: Heart of Chornobyl Disponible le 08/12/22","59,99 €","","Action Monde ouvert Multijoueur Solo","GSC Game World","GSC Game World","Windows","08/12/22","","",""
"Pumpkin Jack","29,99 €","","Action Aventure Jeux de plateforme","Nicolas Meyssonnier","Headup GmbH","Windows","23/10/20","58 ","74","Passable"
"Pupperazzi","15,99 €","","Casual Comédie Première personne Solo","Sundae Month","Kitfox Games","Windows Mac OS","20/01/22","54 ","71","Passable"
"Puzzles for Clef Disponible le T1, 2023","","","Indépendant Aventure Casual Solo","Weasel Token","Freedom Games","Windows","T1, 2023","","",""
"Q.U.B.E. 2","24,99 €","","Casse-tête Aventure Première personne Solo Compatibilité manette","Toxic Games","Ten Hut Games","Windows","18/03/18","68 ","76","Très bien"
"Quake","9,99 €","","Action Première personne Jeux de tir Aventure Coopération Multijoueur Solo","id Software Nightdive Studios MachineGames","Bethesda Softworks","Windows","02/12/21","100"," 8"," Super"
"R-Type Final 2","39,99 €","","Jeux de tir Solo","Granzella Inc.","NIS America, Inc.","Windows","30/04/21","","",""
"Rage 2","39,99 €","","Action Monde ouvert","id Software, Avalanche Studios","Bethesda Softworks","Windows","18/02/21","41 ","71","Passable"
"RAILGRADE Bientôt","","","Simulation Stratégie Solo","Minakata Dynamics","Epic Games Publishing","Windows","Bientôt","","",""
"Railway Empire","29,99 €","","Simulation Stratégie Compatibilité manette Solo","Gaming Minds Studios","Kalypso Media","Windows","10/09/20","56 ","76","Très bien"
"Rainbow Billy: The Curse of the Leviathan","17,99 €","","","","","Windows","","83 ","81","Très bien"
"Rainbow Six Siege Standard Edition","19,99 €","","Action Jeux de tir Stratégie Compatibilité manette Coopération Multijoueur","Ubisoft","Ubisoft","Windows","01/12/15","55 ","76","Très bien"
"Raji: An Ancient Epic","22,99 €","","Action Narration Action-aventure Aventure Solo","Nodding Heads Games","Super.com","Windows","15/10/20","44 ","70","Passable"
"Ranch Simulator","20,99 €","","Simulation Monde ouvert Indépendant Coopération Multijoueur Solo","Toxic Dog","Excalibur Games","Windows","10/02/22","","",""
"RAYMAN® LEGENDS","19,99 €","","Action Aventure Jeux de plateforme Solo","Ubisoft","Ubisoft","Windows","29/11/19","97 ","90","Super"
"Rayman Origins","9,99 €","","Action Aventure Jeux de plateforme","Ubisoft","Ubisoft","Windows","04/02/21","","",""
"ReadySet Heroes","15,99 €","","Action Party game Jeux de rôle Coopération Multijoueur","Robot Entertainment","PlayStation PC LLC","Windows","29/10/19","","",""
"Real Farm - Gold Edition","15,99 €","","Simulation Monde ouvert Aventure","SOEDESCO","SOEDESCO","Windows","24/06/21","","",""
"Realpolitiks II","29,99 €","","Indépendant Stratégie Solo","Jujubee S.A.","1C Entertainment","Windows Mac OS","12/05/21","","",""
"Rebel Galaxy","15,99 €","","Jeux de rôle Monde ouvert Solo Compatibilité manette","Double Damage Games, Inc.","Double Damage Games, Inc.","Windows","20/10/15","48 ","74","Passable"
"Rebel Galaxy Outlaw","24,99 €","","Jeux de rôle Aventure Solo","Double Damage","Double Damage","Windows","13/08/19","83 ","77","Très bien"
"Recompile","19,99 €","","Action Aventure Indépendant Solo","Phigames","Dear Villagers","Windows","19/08/21","19 ","64","Mauvais"
"Red Dead Redemption 2","59,99 €","","Action Narration Monde ouvert Solo","Rockstar Games","Rockstar Games","Windows","05/11/19","94 ","96","Super"
"ReDrawn - The Painted Tower Collector's Edition","11,99 €","","Casual Solo","Friendly Fox Studio","Big Fish Games","Windows","12/11/21","","",""
"Relicta","19,99 €","","Casse-tête Narration Solo","Mighty Polygon","Ravenscourt","Windows","24/08/20","47 ","75","Très bien"
"RemiLore: Lost Girl in the Lands of Lore","15,99 €","","Action-aventure Rogue-lite Coopération Solo","Pixellore Inc. REMIMORY","Nicalis, Inc.","Windows","12/02/21","33 ","59","Mauvais"
"Remnant: From the Ashes","39,99 €","","Action Jeux de tir Coopération","Gunfire Games","Perfect World Entertainment Inc.","Windows","13/08/20","74 ","78","Très bien"
"REPLACED Bientôt","","","Action Jeux de plateforme Indépendant","Sad Cat Studios","Coatsink","Windows","Bientôt","","",""
"Rescue Party: Live!","9,99 €","","Casual Party game Multijoueur Solo","TAG Studio","505 Games","Windows","13/01/22","","",""
"Retreat To Enen Disponible le T3, 2022","","","Action Aventure Indépendant Solo Multijoueur Coopération","Head West","Freedom Games","Windows","T3, 2022","","",""
"Revita","16,99 €","","Action-aventure Jeux de rôle Indépendant Solo","BenStar","Dear Villagers","Windows","21/04/22","71 ","77","Très bien"
"RHYTHM SPROUT Bientôt","","","Action Aventure Indépendant Solo","SURT","SURT","Windows","Bientôt","","",""
"Riders Republic","59,99 €","","Action Monde ouvert Multijoueur Solo","Ubisoft Annecy","Ubisoft","Windows","28/10/21","72 ","78","Très bien"
"RiME","34,99 €","","","","","Windows","","68 ","79","Très bien"
"RiMS Racing","49,99 €","","Simulation Course Multijoueur Solo","Raceward Studio","Nacon","Windows","04/11/21","","",""
"RimWorld","29,99 €","","Simulation Construction de villes Stratégie Solo","Ludeon Studios","Ludeon Studios","Windows Mac OS","09/06/20","","",""
"Rise of the Tomb Raider: 20 Year Celebration","29,99 €","","","","","Windows","","91 ","87","Super"
