"Name","Price","genres","features","developer","publisher","platform","Release date","note critique","moyenne avis","Classification OpenCritique"
"Glitchhikers: The Spaces Between","9,99 €","","?????????? ???????????? ???? ????????? ????????? ????????","Silverstring Media Inc.","Fellow Traveller","Windows","31.03.22","","",""
"GNOG","7,99 €","","","","","Windows Mac OS Mac OS","","55 ","73","???????"
"God of War","49,99 €","","????? ??????? ??????????? ?????????","Santa Monica Studio","PlayStation PC LLC","Windows","14.01.22","98 ","94","?????"
"God's Trigger","14,99 €","","????? ????","One More Level","Techland","Windows","20.08.20","83 ","80","??????"
"Godfall: Ultimate Edition","39,99 €","","????? ??????????? ?????????????","Counterplay Games","Gearbox Publishing","Windows","07.04.22","","",""
"Godlike Burger","19,99 €","","???? ????? Roguelite ????????? ????????","Liquid Pug","Daedalic Entertainment","Windows Mac OS","21.04.22","","",""
"Gods Will Fall","14,99 €","","??????????????? ??????","Clever Beans","Deep Silver","Windows","29.01.21","","",""
"Godstrike","11,99 €","","????? ???? ?????????","Overpowered Team","Freedom Games","Windows","14.10.21","21 ","55","?????"
"Going Medieval","22,99 €","","????????? ?????????","Foxy Voxel","The Irregular Corporation","Windows","01.06.21","","",""
"Going Under","19,99 €","","???? Dungeon Crawler ?????????","Aggro Crab Games","Team17 Digital Ltd","Windows","29.09.20","81 ","81","??????"
"Golazo","6,99 €","","?????????? ????????????? ????????? ????????? ????????","Purple Tree","Purple Tree","Windows","31.03.21","","",""
"Golf Club Wasteland","9,99 €","","???? ?????????? ?????????? ????????? ???????? ?????????","Demagog Studio","Untold Tales S.A.","Windows","03.09.21","68 ","77","??????"
"Gone Home","11,99 €","","????? ?? ??????? ???? ???????????","The Fullbright Company","The Fullbright Company","Windows Mac OS","02.04.20","76 ","85","?????"
"Gone Viral NOUVEAU CHEZ EPIC","15,99 €","","Dungeon Crawler Roguelite ????? ?????????","Skullbot Games","Akupara Games","Windows","25.04.22","","",""
"GoNNER","9,99 €","","??????????","Art in Heart","Raw Fury","Windows","27.02.20","52 ","75","??????"
"Good Company","22,99 €","","????????? ????????? ???? ?????????","Chasing Carrots","The Irregular Corporation","Windows","18.10.21","","",""
"Gorogoa","14,99 €","","","","","Windows","","91 ","85","?????"
"Grand Theft Auto V : Édition Premium","29,99 €","","????? ???????????","Rockstar Games","Rockstar Games","Windows","14.05.20","92 ","92","?????"
"GRAVEN","20,99 €","","????? ????? ?????????","Slipgate Ironworks™","1C Entertainment, 3D Realms","Windows","26.05.21","","",""
"Gravewood High","15,99 €","","?????? ????? ?????????","HeroCraft","HeroCraft","Windows","20.10.21","","",""
"Griftlands","16,79 €","","Roguelite ????????? ???? ????????? ???????? ?????????","Klei Entertainment","Klei Entertainment","Windows Mac OS","11.07.19","","",""
"GRIME","19,99 €","","?????????? ????????? ????????? ????????","Clover Bite","–","Windows","02.08.21","82 ","84","?????"
"Grindstone","15,99 €","","???? ??????????? ?????????? ?????????","CAPY","Capybara Games","Windows","20.05.21","93 ","84","?????"
"Guardians of Hyelore","15,99 €","","????? ????????? ??????? ?????????","Megaglope Studios","Freedom! Games","Windows","29.09.21","","",""
"Guild Of Ascension","14,99 €","","Roguelite ????????? ?????????","WhileOne Productions","PID Games","Windows","21.09.21","","",""
"Hades","20,99 €","","????? ??????? ?????????? ????????? ???????? ?????????","Supergiant Games","Supergiant Games","Windows Mac OS","10.12.19","","",""
"Halcyon 6: Starbase Commander","14,99 €","","??????? ????????? ???? ?????????","Massive Damage","Massive Damage Inc.","Windows","11.02.21","","",""
"Hammerting","24,99 €","","????????? ??????? ?????????","Warpzone Studios","Team17 Digital Ltd","Windows","27.10.20","","",""
"Hamsterdam","3,99 €","","????? ??????? ???? ?????????","Muse Games","Muse Games","Windows","09.09.21","","",""
"Hand of Fate 2","23,99 €","","????? ?????????? ?????????","Defiant Development","Defiant Development","Windows Mac OS","22.04.21","78 ","82","??????"
"Happy's Humble Burger Farm","16,79 €","","??????????????? ?????? ????????? ???? ?????????","Scythe Dev Team","tinyBuild","Windows","03.12.21","63 ","69","???????"
"Haven","24,99 €","","???????","The Game Bakers","The Game Bakers","Windows","04.02.21","75 ","75","??????"
"He Will Shoot","1,59 €","","????? ????? ????????? ?????????","Boom Games","Boom Games","Windows","15.12.21","","",""
"Heavy Rain","19,90 €","","????? ????????????????? ?????????","Quantic Dream","–","Windows","24.06.19","44 ","73","???????"
"Helium Rain","Gratuit","","","Deimos Games","Deimos Games","","01.03.19","","",""
"Hell is Other Demons","7,99 €","","????? Roguelite ?????????? ?????????","Cuddle Monster Games","Kongregate","Windows Mac OS","17.06.21","75 ","78","??????"
"Hello Neighbor","27,99 €","","?????? ???? ????? ?????????","Dynamic Pixels","tinyBuild","Windows","08.12.18","","",""
